prompt_id,prompt_text
PROMPT_001,"Please categorize the following survey response into one of the predefined categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Only output the category name. Survey Response: ""The checkout process was seamless and very quick!"""
PROMPT_002,"Categorize this feedback: ""I couldn't find the button to change my password. It's really frustrating."" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Respond with only the category."
PROMPT_003,"Classify the user comment: ""The app works as expected. No complaints."" Use one category: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Output the category name only."
PROMPT_004,"Determine the category for this text: ""It would be great if we could export the reports to PDF format."" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Provide only the category."
PROMPT_005,"Assign a category (Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other) to: ""The app crashed when I tried to upload a photo."" Just the category name."
PROMPT_006,"What category does this belong to? ""The user interface is clean and intuitive. I love it!"" Options: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Single word answer."
PROMPT_007,"Categorize: ""Customer support took three days to respond, which is too long."" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Category only."
PROMPT_008,"Classify: ""The service is okay, neither good nor bad."" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Give just the category."
PROMPT_009,"Place this comment into a category: ""Can you add integration with Google Calendar?"" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Respond with the category name."
PROMPT_010,"Categorize this response: ""Every time I click save, I get an error message 'Error 500'."" Choose from: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Output the category."
PROMPT_011,"Survey Feedback: ""This is the best tool I've used for project management! Highly recommend."" Categorize into: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Category name only."
PROMPT_012,"User comment: ""I found the navigation confusing, especially in the settings menu."" Assign category: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Just the category."
PROMPT_013,"Feedback: ""It functions adequately for my basic needs."" Choose category: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Provide category name."
PROMPT_014,"Suggestion: ""I wish there was a dark mode option."" Assign category: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Category only."
PROMPT_015,"Issue: ""The login page keeps refreshing infinitely sometimes."" Categorize using: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Output category name."
PROMPT_016,"Categorize: ""Excellent service, the representative was very helpful."" Options: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Single category answer."
PROMPT_017,"Classify: ""The price increased recently, and I don't think the value matches anymore."" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Category name."
PROMPT_018,"Comment: ""It does the job."" Category options: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Just the category."
PROMPT_019,"Categorize: ""Could you allow sorting the dashboard widgets?"" Categories: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Provide category."
PROMPT_020,"Text: ""Received a corrupted file download."" Assign category: Positive Experience, Negative Experience, Neutral Feedback, Feature Request, Bug Report, Other. Output category only."
